MarketKey,LastUpdate,Name,Description,Price,Point,AdjustedPoint,Probability,Score,FantasyScorePoint,MeanFantasyScore,FinalProjectedFPS
batter_home_runs,2023-08-02T16:42:46Z,Over,Austin Riley,400,0.5,1.0,0.2,4.0,0.8,0.7632183908045977,4.3438034269672
batter_home_runs,2023-08-02T16:43:08Z,Over,Austin Riley,480,0.5,1.0,0.1724137931034483,4.0,0.6896551724137931,0.7632183908045977,4.3438034269672
batter_home_runs,2023-08-02T16:43:39Z,Over,Austin Riley,400,0.5,1.0,0.2,4.0,0.8,0.7632183908045977,4.3438034269672
batter_singles,2023-08-02T16:42:46Z,Over,Austin Riley,140,0.5,1.0,0.4166666666666667,2.5,1.0416666666666667,1.1383400878081729,4.3438034269672
batter_singles,2023-08-02T16:43:08Z,Over,Austin Riley,-110,0.5,1.0,0.5238095238095238,2.5,1.3095238095238095,1.1383400878081729,4.3438034269672
batter_singles,2023-08-02T16:43:39Z,Over,Austin Riley,135,0.5,1.0,0.425531914893617,2.5,1.0638297872340425,1.1383400878081729,4.3438034269672
batter_doubles,2023-08-02T16:42:46Z,Over,Austin Riley,425,0.5,1.0,0.19047619047619047,3.0,0.5714285714285714,0.6517699338484068,4.3438034269672
batter_doubles,2023-08-02T16:43:08Z,Over,Austin Riley,310,0.5,1.0,0.24390243902439024,3.0,0.7317073170731707,0.6517699338484068,4.3438034269672
batter_doubles,2023-08-02T16:43:39Z,Over,Austin Riley,360,0.5,1.0,0.21739130434782608,3.0,0.6521739130434783,0.6517699338484068,4.3438034269672
batter_triples,2023-08-02T16:43:08Z,Over,Austin Riley,8000,0.5,1.0,0.012345679012345678,3.5,0.043209876543209874,0.043209876543209874,4.3438034269672
batter_runs_scored,2023-08-02T16:42:46Z,Over,Austin Riley,120,0.5,1.0,0.45454545454545453,2.0,0.9090909090909091,0.9626497533474278,4.3438034269672
batter_runs_scored,2023-08-02T16:43:08Z,Over,Austin Riley,-115,0.5,1.0,0.5348837209302325,2.0,1.069767441860465,0.9626497533474278,4.3438034269672
batter_runs_scored,2023-08-02T16:43:39Z,Over,Austin Riley,120,0.5,1.0,0.45454545454545453,2.0,0.9090909090909091,0.9626497533474278,4.3438034269672
batter_rbis,2023-08-02T16:42:46Z,Over,Austin Riley,160,0.5,1.0,0.38461538461538464,2.0,0.7692307692307693,0.7846153846153847,4.3438034269672
batter_rbis,2023-08-02T16:43:39Z,Over,Austin Riley,150,0.5,1.0,0.4,2.0,0.8,0.7846153846153847,4.3438034269672
batter_home_runs,2023-08-02T16:42:46Z,Over,C.J. Cron,550,0.5,1.0,0.15384615384615385,4.0,0.6153846153846154,0.588034188034188,4.119241958497924
batter_home_runs,2023-08-02T16:43:08Z,Over,C.J. Cron,650,0.5,1.0,0.13333333333333333,4.0,0.5333333333333333,0.588034188034188,4.119241958497924
batter_home_runs,2023-08-02T16:43:39Z,Over,C.J. Cron,550,0.5,1.0,0.15384615384615385,4.0,0.6153846153846154,0.588034188034188,4.119241958497924
batter_singles,2023-08-02T16:42:46Z,Over,C.J. Cron,110,0.5,1.0,0.47619047619047616,2.5,1.1904761904761905,1.2820528661213664,4.119241958497924
batter_singles,2023-08-02T16:43:08Z,Over,C.J. Cron,-135,0.5,1.0,0.574468085106383,2.5,1.4361702127659575,1.2820528661213664,4.119241958497924
batter_singles,2023-08-02T16:43:39Z,Over,C.J. Cron,105,0.5,1.0,0.4878048780487805,2.5,1.2195121951219512,1.2820528661213664,4.119241958497924
batter_doubles,2023-08-02T16:42:46Z,Over,C.J. Cron,425,0.5,1.0,0.19047619047619047,3.0,0.5714285714285714,0.6404256343589002,4.119241958497924
batter_doubles,2023-08-02T16:43:08Z,Over,C.J. Cron,330,0.5,1.0,0.23255813953488372,3.0,0.6976744186046512,0.6404256343589002,4.119241958497924
batter_doubles,2023-08-02T16:43:39Z,Over,C.J. Cron,360,0.5,1.0,0.21739130434782608,3.0,0.6521739130434783,0.6404256343589002,4.119241958497924
batter_runs_scored,2023-08-02T16:42:46Z,Over,C.J. Cron,135,0.5,1.0,0.425531914893617,2.0,0.851063829787234,0.900709219858156,4.119241958497924
batter_runs_scored,2023-08-02T16:43:08Z,Over,C.J. Cron,100,0.5,1.0,0.5,2.0,1.0,0.900709219858156,4.119241958497924
batter_runs_scored,2023-08-02T16:43:39Z,Over,C.J. Cron,135,0.5,1.0,0.425531914893617,2.0,0.851063829787234,0.900709219858156,4.119241958497924
batter_rbis,2023-08-02T16:42:46Z,Over,C.J. Cron,185,0.5,1.0,0.3508771929824561,2.0,0.7017543859649122,0.7080200501253133,4.119241958497924
batter_rbis,2023-08-02T16:43:39Z,Over,C.J. Cron,180,0.5,1.0,0.35714285714285715,2.0,0.7142857142857143,0.7080200501253133,4.119241958497924
batter_home_runs,2023-08-02T16:42:46Z,Over,Chad Wallach,850,0.5,1.0,0.10526315789473684,4.0,0.42105263157894735,0.48479532163742683,3.3635729744210883
batter_home_runs,2023-08-02T16:43:08Z,Over,Chad Wallach,650,0.5,1.0,0.13333333333333333,4.0,0.5333333333333333,0.48479532163742683,3.3635729744210883
batter_home_runs,2023-08-02T16:43:39Z,Over,Chad Wallach,700,0.5,1.0,0.125,4.0,0.5,0.48479532163742683,3.3635729744210883
batter_singles,2023-08-02T16:42:46Z,Over,Chad Wallach,125,0.5,1.0,0.4444444444444444,2.5,1.1111111111111112,1.1111111111111112,3.3635729744210883
batter_singles,2023-08-02T16:43:08Z,Over,Chad Wallach,125,0.5,1.0,0.4444444444444444,2.5,1.1111111111111112,1.1111111111111112,3.3635729744210883
batter_singles,2023-08-02T16:43:39Z,Over,Chad Wallach,125,0.5,1.0,0.4444444444444444,2.5,1.1111111111111112,1.1111111111111112,3.3635729744210883
batter_doubles,2023-08-02T16:42:46Z,Over,Chad Wallach,500,0.5,1.0,0.16666666666666666,3.0,0.5,0.5023310023310024,3.3635729744210883
batter_doubles,2023-08-02T16:43:08Z,Over,Chad Wallach,550,0.5,1.0,0.15384615384615385,3.0,0.46153846153846156,0.5023310023310024,3.3635729744210883
batter_doubles,2023-08-02T16:43:39Z,Over,Chad Wallach,450,0.5,1.0,0.18181818181818182,3.0,0.5454545454545454,0.5023310023310024,3.3635729744210883
batter_runs_scored,2023-08-02T16:42:46Z,Over,Chad Wallach,165,0.5,1.0,0.37735849056603776,2.0,0.7547169811320755,0.7419007121092523,3.3635729744210883
batter_runs_scored,2023-08-02T16:43:08Z,Over,Chad Wallach,185,0.5,1.0,0.3508771929824561,2.0,0.7017543859649122,0.7419007121092523,3.3635729744210883
batter_runs_scored,2023-08-02T16:43:39Z,Over,Chad Wallach,160,0.5,1.0,0.38461538461538464,2.0,0.7692307692307693,0.7419007121092523,3.3635729744210883
batter_rbis,2023-08-02T16:42:46Z,Over,Chad Wallach,295,0.5,1.0,0.25316455696202533,2.0,0.5063291139240507,0.5234348272322956,3.3635729744210883
batter_rbis,2023-08-02T16:43:39Z,Over,Chad Wallach,270,0.5,1.0,0.2702702702702703,2.0,0.5405405405405406,0.5234348272322956,3.3635729744210883
batter_home_runs,2023-08-02T16:42:46Z,Over,Eddie Rosario,475,0.5,1.0,0.17391304347826086,4.0,0.6956521739130435,0.6909805170674735,4.28282714203756
batter_home_runs,2023-08-02T16:43:08Z,Over,Eddie Rosario,550,0.5,1.0,0.15384615384615385,4.0,0.6153846153846154,0.6909805170674735,4.28282714203756
batter_home_runs,2023-08-02T16:43:39Z,Over,Eddie Rosario,425,0.5,1.0,0.19047619047619047,4.0,0.7619047619047619,0.6909805170674735,4.28282714203756
batter_singles,2023-08-02T16:42:46Z,Over,Eddie Rosario,115,0.5,1.0,0.46511627906976744,2.5,1.1627906976744187,1.1632101748380819,4.28282714203756
batter_singles,2023-08-02T16:43:08Z,Over,Eddie Rosario,120,0.5,1.0,0.45454545454545453,2.5,1.1363636363636362,1.1632101748380819,4.28282714203756
batter_singles,2023-08-02T16:43:39Z,Over,Eddie Rosario,110,0.5,1.0,0.47619047619047616,2.5,1.1904761904761905,1.1632101748380819,4.28282714203756
batter_doubles,2023-08-02T16:42:46Z,Over,Eddie Rosario,390,0.5,1.0,0.20408163265306123,3.0,0.6122448979591837,0.6186115471829757,4.28282714203756
batter_doubles,2023-08-02T16:43:08Z,Over,Eddie Rosario,420,0.5,1.0,0.19230769230769232,3.0,0.576923076923077,0.6186115471829757,4.28282714203756
batter_doubles,2023-08-02T16:43:39Z,Over,Eddie Rosario,350,0.5,1.0,0.2222222222222222,3.0,0.6666666666666666,0.6186115471829757,4.28282714203756
batter_triples,2023-08-02T16:43:08Z,Over,Eddie Rosario,8000,0.5,1.0,0.012345679012345678,3.5,0.043209876543209874,0.043209876543209874,4.28282714203756
batter_runs_scored,2023-08-02T16:42:46Z,Over,Eddie Rosario,130,0.5,1.0,0.43478260869565216,2.0,0.8695652173913043,0.8695652173913043,4.28282714203756
batter_runs_scored,2023-08-02T16:43:08Z,Over,Eddie Rosario,130,0.5,1.0,0.43478260869565216,2.0,0.8695652173913043,0.8695652173913043,4.28282714203756
batter_runs_scored,2023-08-02T16:43:39Z,Over,Eddie Rosario,130,0.5,1.0,0.43478260869565216,2.0,0.8695652173913043,0.8695652173913043,4.28282714203756
batter_stolen_bases,2023-08-02T16:42:46Z,Over,Eddie Rosario,1600,0.5,1.0,0.058823529411764705,3.0,0.1764705882352941,0.1764705882352941,4.28282714203756
batter_rbis,2023-08-02T16:42:46Z,Over,Eddie Rosario,180,0.5,1.0,0.35714285714285715,2.0,0.7142857142857143,0.7207792207792207,4.28282714203756
batter_rbis,2023-08-02T16:43:39Z,Over,Eddie Rosario,175,0.5,1.0,0.36363636363636365,2.0,0.7272727272727273,0.7207792207792207,4.28282714203756
batter_home_runs,2023-08-02T16:42:46Z,Over,Eduardo Escobar,650,0.5,1.0,0.13333333333333333,4.0,0.5333333333333333,0.5333333333333333,3.8215392628088933
batter_home_runs,2023-08-02T16:43:39Z,Over,Eduardo Escobar,650,0.5,1.0,0.13333333333333333,4.0,0.5333333333333333,0.5333333333333333,3.8215392628088933
batter_singles,2023-08-02T16:42:46Z,Over,Eduardo Escobar,145,0.5,1.0,0.40816326530612246,2.5,1.0204081632653061,1.1141875449366738,3.8215392628088933
batter_singles,2023-08-02T16:43:08Z,Over,Eduardo Escobar,-105,0.5,1.0,0.5121951219512195,2.5,1.2804878048780488,1.1141875449366738,3.8215392628088933
batter_singles,2023-08-02T16:43:39Z,Over,Eduardo Escobar,140,0.5,1.0,0.4166666666666667,2.5,1.0416666666666667,1.1141875449366738,3.8215392628088933
batter_doubles,2023-08-02T16:42:46Z,Over,Eduardo Escobar,425,0.5,1.0,0.19047619047619047,3.0,0.5714285714285714,0.6517699338484068,3.8215392628088933
batter_doubles,2023-08-02T16:43:08Z,Over,Eduardo Escobar,310,0.5,1.0,0.24390243902439024,3.0,0.7317073170731707,0.6517699338484068,3.8215392628088933
batter_doubles,2023-08-02T16:43:39Z,Over,Eduardo Escobar,360,0.5,1.0,0.21739130434782608,3.0,0.6521739130434783,0.6517699338484068,3.8215392628088933
batter_triples,2023-08-02T16:43:08Z,Over,Eduardo Escobar,3500,0.5,1.0,0.027777777777777776,3.5,0.09722222222222221,0.09722222222222221,3.8215392628088933
batter_runs_scored,2023-08-02T16:42:46Z,Over,Eduardo Escobar,170,0.5,1.0,0.37037037037037035,2.0,0.7407407407407407,0.7791928951349241,3.8215392628088933
batter_runs_scored,2023-08-02T16:43:08Z,Over,Eduardo Escobar,130,0.5,1.0,0.43478260869565216,2.0,0.8695652173913043,0.7791928951349241,3.8215392628088933
batter_runs_scored,2023-08-02T16:43:39Z,Over,Eduardo Escobar,175,0.5,1.0,0.36363636363636365,2.0,0.7272727272727273,0.7791928951349241,3.8215392628088933
batter_rbis,2023-08-02T16:42:46Z,Over,Eduardo Escobar,220,0.5,1.0,0.3125,2.0,0.625,0.6458333333333333,3.8215392628088933
batter_rbis,2023-08-02T16:43:39Z,Over,Eduardo Escobar,200,0.5,1.0,0.3333333333333333,2.0,0.6666666666666666,0.6458333333333333,3.8215392628088933
batter_home_runs,2023-08-02T16:42:46Z,Over,Hunter Renfroe,475,0.5,1.0,0.17391304347826086,4.0,0.6956521739130435,0.7287784679089027,4.195777363605873
batter_home_runs,2023-08-02T16:43:39Z,Over,Hunter Renfroe,425,0.5,1.0,0.19047619047619047,4.0,0.7619047619047619,0.7287784679089027,4.195777363605873
batter_singles,2023-08-02T16:42:46Z,Over,Hunter Renfroe,135,0.5,1.0,0.425531914893617,2.5,1.0638297872340425,1.1457277946639648,4.195777363605873
batter_singles,2023-08-02T16:43:08Z,Over,Hunter Renfroe,-110,0.5,1.0,0.5238095238095238,2.5,1.3095238095238095,1.1457277946639648,4.195777363605873
batter_singles,2023-08-02T16:43:39Z,Over,Hunter Renfroe,135,0.5,1.0,0.425531914893617,2.5,1.0638297872340425,1.1457277946639648,4.195777363605873
batter_doubles,2023-08-02T16:42:46Z,Over,Hunter Renfroe,380,0.5,1.0,0.20833333333333334,3.0,0.625,0.6805555555555555,4.195777363605873
batter_doubles,2023-08-02T16:43:08Z,Over,Hunter Renfroe,300,0.5,1.0,0.25,3.0,0.75,0.6805555555555555,4.195777363605873
batter_doubles,2023-08-02T16:43:39Z,Over,Hunter Renfroe,350,0.5,1.0,0.2222222222222222,3.0,0.6666666666666666,0.6805555555555555,4.195777363605873
batter_triples,2023-08-02T16:43:08Z,Over,Hunter Renfroe,8000,0.5,1.0,0.012345679012345678,3.5,0.043209876543209874,0.043209876543209874,4.195777363605873
batter_runs_scored,2023-08-02T16:42:46Z,Over,Hunter Renfroe,145,0.5,1.0,0.40816326530612246,2.0,0.8163265306122449,0.8832199546485261,4.195777363605873
batter_runs_scored,2023-08-02T16:43:08Z,Over,Hunter Renfroe,100,0.5,1.0,0.5,2.0,1.0,0.8832199546485261,4.195777363605873
batter_runs_scored,2023-08-02T16:43:39Z,Over,Hunter Renfroe,140,0.5,1.0,0.4166666666666667,2.0,0.8333333333333334,0.8832199546485261,4.195777363605873
batter_rbis,2023-08-02T16:42:46Z,Over,Hunter Renfroe,180,0.5,1.0,0.35714285714285715,2.0,0.7142857142857143,0.7142857142857143,4.195777363605873
batter_rbis,2023-08-02T16:43:39Z,Over,Hunter Renfroe,180,0.5,1.0,0.35714285714285715,2.0,0.7142857142857143,0.7142857142857143,4.195777363605873
batter_home_runs,2023-08-02T16:42:46Z,Over,Jordyn Adams,950,0.5,1.0,0.09523809523809523,4.0,0.38095238095238093,0.47619047619047616,3.930098984625563
batter_home_runs,2023-08-02T16:43:08Z,Over,Jordyn Adams,600,0.5,1.0,0.14285714285714285,4.0,0.5714285714285714,0.47619047619047616,3.930098984625563
batter_singles,2023-08-02T16:42:46Z,Over,Jordyn Adams,115,0.5,1.0,0.46511627906976744,2.5,1.1627906976744187,1.1627906976744187,3.930098984625563
batter_singles,2023-08-02T16:43:08Z,Over,Jordyn Adams,115,0.5,1.0,0.46511627906976744,2.5,1.1627906976744187,1.1627906976744187,3.930098984625563
batter_doubles,2023-08-02T16:42:46Z,Over,Jordyn Adams,450,0.5,1.0,0.18181818181818182,3.0,0.5454545454545454,0.5454545454545454,3.930098984625563
batter_doubles,2023-08-02T16:43:08Z,Over,Jordyn Adams,450,0.5,1.0,0.18181818181818182,3.0,0.5454545454545454,0.5454545454545454,3.930098984625563
batter_triples,2023-08-02T16:43:08Z,Over,Jordyn Adams,5500,0.5,1.0,0.017857142857142856,3.5,0.0625,0.0625,3.930098984625563
batter_runs_scored,2023-08-02T16:42:46Z,Over,Jordyn Adams,145,0.5,1.0,0.40816326530612246,2.0,0.8163265306122449,0.8081632653061225,3.930098984625563
batter_runs_scored,2023-08-02T16:43:08Z,Over,Jordyn Adams,150,0.5,1.0,0.4,2.0,0.8,0.8081632653061225,3.930098984625563
batter_stolen_bases,2023-08-02T16:42:46Z,Over,Jordyn Adams,700,0.5,1.0,0.125,3.0,0.375,0.375,3.930098984625563
batter_rbis,2023-08-02T16:42:46Z,Over,Jordyn Adams,300,0.5,1.0,0.25,2.0,0.5,0.5,3.930098984625563
batter_home_runs,2023-08-02T16:42:46Z,Over,Luis Rengifo,650,0.5,1.0,0.13333333333333333,4.0,0.5333333333333333,0.48253968253968255,4.226257919125703
batter_home_runs,2023-08-02T16:43:08Z,Over,Luis Rengifo,950,0.5,1.0,0.09523809523809523,4.0,0.38095238095238093,0.48253968253968255,4.226257919125703
batter_home_runs,2023-08-02T16:43:39Z,Over,Luis Rengifo,650,0.5,1.0,0.13333333333333333,4.0,0.5333333333333333,0.48253968253968255,4.226257919125703
batter_singles,2023-08-02T16:42:46Z,Over,Luis Rengifo,100,0.5,1.0,0.5,2.5,1.25,1.2347560975609757,4.226257919125703
batter_singles,2023-08-02T16:43:39Z,Over,Luis Rengifo,105,0.5,1.0,0.4878048780487805,2.5,1.2195121951219512,1.2347560975609757,4.226257919125703
batter_doubles,2023-08-02T16:42:46Z,Over,Luis Rengifo,390,0.5,1.0,0.20408163265306123,3.0,0.6122448979591837,0.6394557823129252,4.226257919125703
batter_doubles,2023-08-02T16:43:39Z,Over,Luis Rengifo,350,0.5,1.0,0.2222222222222222,3.0,0.6666666666666666,0.6394557823129252,4.226257919125703
batter_runs_scored,2023-08-02T16:42:46Z,Over,Luis Rengifo,130,0.5,1.0,0.43478260869565216,2.0,0.8695652173913043,0.8792270531400965,4.226257919125703
batter_runs_scored,2023-08-02T16:43:39Z,Over,Luis Rengifo,125,0.5,1.0,0.4444444444444444,2.0,0.8888888888888888,0.8792270531400965,4.226257919125703
batter_stolen_bases,2023-08-02T16:42:46Z,Over,Luis Rengifo,850,0.5,1.0,0.10526315789473684,3.0,0.3157894736842105,0.33436532507739936,4.226257919125703
batter_stolen_bases,2023-08-02T16:43:39Z,Over,Luis Rengifo,750,0.5,1.0,0.11764705882352941,3.0,0.3529411764705882,0.33436532507739936,4.226257919125703
batter_rbis,2023-08-02T16:42:46Z,Over,Luis Rengifo,210,0.5,1.0,0.3225806451612903,2.0,0.6451612903225806,0.6559139784946236,4.226257919125703
batter_rbis,2023-08-02T16:43:39Z,Over,Luis Rengifo,200,0.5,1.0,0.3333333333333333,2.0,0.6666666666666666,0.6559139784946236,4.226257919125703
batter_home_runs,2023-08-02T16:42:46Z,Over,Marcell Ozuna,320,0.5,1.0,0.23809523809523808,4.0,0.9523809523809523,0.9122315592903828,4.442798572989186
batter_home_runs,2023-08-02T16:43:08Z,Over,Marcell Ozuna,410,0.5,1.0,0.19607843137254902,4.0,0.7843137254901961,0.9122315592903828,4.442798572989186
batter_home_runs,2023-08-02T16:43:39Z,Over,Marcell Ozuna,300,0.5,1.0,0.25,4.0,1.0,0.9122315592903828,4.442798572989186
batter_singles,2023-08-02T16:42:46Z,Over,Marcell Ozuna,120,0.5,1.0,0.45454545454545453,2.5,1.1363636363636362,1.1279461279461278,4.442798572989186
batter_singles,2023-08-02T16:43:08Z,Over,Marcell Ozuna,125,0.5,1.0,0.4444444444444444,2.5,1.1111111111111112,1.1279461279461278,4.442798572989186
batter_singles,2023-08-02T16:43:39Z,Over,Marcell Ozuna,120,0.5,1.0,0.45454545454545453,2.5,1.1363636363636362,1.1279461279461278,4.442798572989186
batter_doubles,2023-08-02T16:42:46Z,Over,Marcell Ozuna,390,0.5,1.0,0.20408163265306123,3.0,0.6122448979591837,0.6263038548752835,4.442798572989186
batter_doubles,2023-08-02T16:43:08Z,Over,Marcell Ozuna,400,0.5,1.0,0.2,3.0,0.6000000000000001,0.6263038548752835,4.442798572989186
batter_doubles,2023-08-02T16:43:39Z,Over,Marcell Ozuna,350,0.5,1.0,0.2222222222222222,3.0,0.6666666666666666,0.6263038548752835,4.442798572989186
batter_runs_scored,2023-08-02T16:42:46Z,Over,Marcell Ozuna,110,0.5,1.0,0.47619047619047616,2.0,0.9523809523809523,0.9759969028261711,4.442798572989186
batter_runs_scored,2023-08-02T16:43:08Z,Over,Marcell Ozuna,100,0.5,1.0,0.5,2.0,1.0,0.9759969028261711,4.442798572989186
